Sample,Longitude,Latitude,bio1,bio2,bio3,bio4,bio5,bio6,bio7,bio8,bio9,bio10,bio11,bio12,bio13,bio14,bio15,bio16,bio17,bio18,bio19
CM49,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
CM48,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
CM47,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
CM46,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
CM45,126.42,41.95,4.94133329391479,12.8319997787476,25.5658264160156,1359.07006835938,27.2080001831055,-22.9839992523193,50.1920013427734,20.7386665344238,-13.1086664199829,20.7386665344238,-13.1086664199829,854,214,10,96.6404113769531,526,37,526,37
CM21,118.9,42.31,7.52333307266235,12.9580001831055,28.4791221618652,1257.06701660156,28.507999420166,-16.992000579834,45.5,22.1753330230713,-6.50799989700317,22.1753330230713,-8.70133304595947,363,106,1,110.734672546387,246,6,246,6
CM20,118.9,42.31,7.52333307266235,12.9580001831055,28.4791221618652,1257.06701660156,28.507999420166,-16.992000579834,45.5,22.1753330230713,-6.50799989700317,22.1753330230713,-8.70133304595947,363,106,1,110.734672546387,246,6,246,6
CM19,118.9,42.31,7.52333307266235,12.9580001831055,28.4791221618652,1257.06701660156,28.507999420166,-16.992000579834,45.5,22.1753330230713,-6.50799989700317,22.1753330230713,-8.70133304595947,363,106,1,110.734672546387,246,6,246,6
CM18,118.9,42.31,7.52333307266235,12.9580001831055,28.4791221618652,1257.06701660156,28.507999420166,-16.992000579834,45.5,22.1753330230713,-6.50799989700317,22.1753330230713,-8.70133304595947,363,106,1,110.734672546387,246,6,246,6
CM17,118.9,42.31,7.52333307266235,12.9580001831055,28.4791221618652,1257.06701660156,28.507999420166,-16.992000579834,45.5,22.1753330230713,-6.50799989700317,22.1753330230713,-8.70133304595947,363,106,1,110.734672546387,246,6,246,6
CM16,127.2,45.43,3.40249967575073,11.8023328781128,22.8055591583252,1474.48583984375,26.5799999237061,-25.1720008850098,51.7519989013672,20.4766654968262,-15.9993333816528,20.4766654968262,-15.9993333816528,572,163,3,108.458518981934,377,13,377,13
CM15,127.2,45.43,3.40249967575073,11.8023328781128,22.8055591583252,1474.48583984375,26.5799999237061,-25.1720008850098,51.7519989013672,20.4766654968262,-15.9993333816528,20.4766654968262,-15.9993333816528,572,163,3,108.458518981934,377,13,377,13
CM14,127.2,45.43,3.40249967575073,11.8023328781128,22.8055591583252,1474.48583984375,26.5799999237061,-25.1720008850098,51.7519989013672,20.4766654968262,-15.9993333816528,20.4766654968262,-15.9993333816528,572,163,3,108.458518981934,377,13,377,13
CM13,127.2,45.43,3.40249967575073,11.8023328781128,22.8055591583252,1474.48583984375,26.5799999237061,-25.1720008850098,51.7519989013672,20.4766654968262,-15.9993333816528,20.4766654968262,-15.9993333816528,572,163,3,108.458518981934,377,13,377,13
CM12,127.2,45.43,3.40249967575073,11.8023328781128,22.8055591583252,1474.48583984375,26.5799999237061,-25.1720008850098,51.7519989013672,20.4766654968262,-15.9993333816528,20.4766654968262,-15.9993333816528,572,163,3,108.458518981934,377,13,377,13
CM44,128.88,46.95,1.20166671276093,12.3846664428711,23.3920116424561,1496.20581054688,25.2800006866455,-27.6639995574951,52.9440002441406,18.5633335113525,-18.3453330993652,18.5633335113525,-18.3453330993652,628,159,4,105.265495300293,408,16,408,16
CM43,128.88,46.95,1.20166671276093,12.3846664428711,23.3920116424561,1496.20581054688,25.2800006866455,-27.6639995574951,52.9440002441406,18.5633335113525,-18.3453330993652,18.5633335113525,-18.3453330993652,628,159,4,105.265495300293,408,16,408,16
CM42,128.88,46.95,1.20166671276093,12.3846664428711,23.3920116424561,1496.20581054688,25.2800006866455,-27.6639995574951,52.9440002441406,18.5633335113525,-18.3453330993652,18.5633335113525,-18.3453330993652,628,159,4,105.265495300293,408,16,408,16
CM41,128.88,46.95,1.20166671276093,12.3846664428711,23.3920116424561,1496.20581054688,25.2800006866455,-27.6639995574951,52.9440002441406,18.5633335113525,-18.3453330993652,18.5633335113525,-18.3453330993652,628,159,4,105.265495300293,408,16,408,16
CM40,128.88,46.95,1.20166671276093,12.3846664428711,23.3920116424561,1496.20581054688,25.2800006866455,-27.6639995574951,52.9440002441406,18.5633335113525,-18.3453330993652,18.5633335113525,-18.3453330993652,628,159,4,105.265495300293,408,16,408,16
CM37,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
CM36,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
CM35,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
CM3,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
CM2,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
CM1,127.53,50.24,0.982166707515717,11.6636667251587,21.0641956329346,1630.43334960938,26.8279991149902,-28.5440006256104,55.3720016479492,19.8339996337891,-15.9186668395996,19.8339996337891,-20.3199996948242,546,130,5,97.9702377319336,337,20,337,21
